0,rest
27.5,A0
29.135,A#0
30.868,B0
32.703,C1
34.648,	C#1
36.708,D1
38.891,	D#1
41.203,E1
43.654,F1
46.249,F#1
48.999,G1
51.913,G#1
55.0,A1
58.27,A#1
61.735,B1
65.406,C2
69.296,C#2
73.416,D2
77.782,D#2
82.407,E2
87.307,F2
92.499,F#2
97.999,G2
103.826,G#2
110.0,A2
116.541,A#2
123.471,B2
130.813,C3
138.591,C#3
146.832,D3
155.563,D#3
164.814,E3
174.614,	F3
184.997,F#3
195.998,G3
207.652,G#3
220.0,A3
233.082,A#3
246.942,B3
261.626,C4
277.183,C#4
293.665,D4
311.127,D#4
329.628,E4
349.228,F4
369.994,F#4
391.995,G4
415.305,G#4
440.0,A4
466.164,A#4
493.883,B4
523.251,C5
554.365,C#5
587.33,D5
622.254,D#5
659.255,E5
698.456,F5
739.989,	F#5
783.991,G5
830.609,G#5
880.0,A5
932.328,A#5
987.767,B5
1046.502,C6
1108.731,C#6
1174.659,D6
1244.508,D#6
1318.51,E6
1396.913,F6
1479.978,F#6
1567.982,G6
1661.219,G#6
1760.0,A6
1864.655,A#6
1975.533,B6
2093.005,C7
2217.461,C#7
2349.318,D7
